Tarefa,Atraso S/N,Comportamento,Copy Aprovada,Data final,Design Aprovado,Funil,Início,Objetivo do Post,Prazo,Prioridade,Publicado!,Refazer Copy,Refazer Design,Status,txt.Prazo
tarefa 1,Atrasada,,No,20/11/2025,No,,19/11/2025,,124 dias atrasado,🚨 Urgente e Importante,No,No,No,A fazer,Prazo final:
exemplo de tarefa 7,Atrasada,,No,29/11/2025,No,,,,115 dias atrasado,,No,No,No,A fazer,Prazo final:
exemplo de tarefa 4,,,No,18/11/2025,Yes,,,,Feito!,,No,No,No,Concluída,Prazo final:
exemplo de tarefa 6,Atrasada,,No,21/11/2025,No,,,,123 dias atrasado,,No,No,No,A fazer,Prazo final:
gravar vídeo do post x,Atrasada,,No,17/11/2025,No,,,,127 dias atrasado,,No,No,No,A fazer,Prazo final:
exemplo de tarefa 3,Atrasada,,No,17/11/2025,No,,17/11/2025,,127 dias atrasado,⚠️ Urgente mas não Importante,No,No,No,A fazer,Prazo final:
editar vídeo do post x,,,No,17/11/2025,Yes,,,,Feito!,,No,No,No,Concluída,Prazo final:
exemplo de tarefa 2,Atrasada,,No,17/11/2025,No,,17/11/2025,,127 dias atrasado,🗓️ Importante mas não Urgente,No,No,No,A fazer,Prazo final:
editar vídeo x,,,No,,Yes,,,,Feito!,,No,No,No,Concluída,Prazo final:
legendar vídeo do post x,Atrasada,,No,17/11/2025,No,,,,127 dias atrasado,,No,No,No,A fazer,Prazo final:
editar artes post y,Atrasada,,No,18/11/2025,No,,,,126 dias atrasado,⚠️ Urgente mas não Importante,No,No,No,A fazer,Prazo final:
escrever roteiro post y,Atrasada,,No,17/11/2025,No,,,,127 dias atrasado,🚨 Urgente e Importante,No,No,No,A fazer,Prazo final:
exemplo de tarefa,Atrasada,,No,17/11/2025,No,,17/11/2025,,127 dias atrasado,🚨 Urgente e Importante,No,No,No,A fazer,Prazo final:
exemplo de tarefa 5,Atrasada,,No,18/11/2025,No,,,,126 dias atrasado,,No,No,No,A fazer,Prazo final:
,,,No,,No,,10/12/2025,,Escolha uma data final!,,No,No,No,A fazer,Prazo final:
TESTE,Atrasada,,No,02/12/2025,No,FUNDO,01/12/2025,EDUCAR,112 dias atrasado,🚨 Urgente e Importante,No,No,No,A fazer,Prazo final:
"CLIENTE CONFERIR ",Atrasada,,No,02/12/2025,No,,,,112 dias atrasado,📁 Nem Urgente Nem Importante,No,No,No,Concluída,Prazo final:
CARROSSEL > TESTE,Atrasada,,No,02/12/2025,No,,09/12/2025,,112 dias atrasado,🚨 Urgente e Importante,No,No,No,Concluída,Prazo final:
Conteúdo x,,Aprender algo novo,Yes,,Yes,,05/01/2026 9:00 (BRT),"CONEXÃO, EDUCAR",Feito!,🚨 Urgente e Importante,Yes,No,No,Concluída,Prazo final:
,,,No,,No,,04/02/2026,,Escolha uma data final!,,No,No,No,A fazer,Prazo final:
"Copy ",,,No,,No,,02/02/2026,,Escolha uma data final!,,No,No,No,A fazer,Prazo final:
